               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.044818,            0.034338,                   0,             0.85275,             0.84411,             0.90192,             0.37507,            0.047591,            0.041993,                   0,           0.0093466,           0.0093466,           0.0093466
                  68,            0.043323,            0.031876,                   0,             0.91279,             0.84068,             0.92032,             0.38885,             0.04523,            0.039405,                   0,           0.0093367,           0.0093367,           0.0093367
                  69,            0.045775,            0.030225,                   0,             0.88073,             0.90169,             0.92696,             0.38455,             0.04244,            0.039376,                   0,           0.0093268,           0.0093268,           0.0093268
                  70,            0.041305,            0.033802,                   0,              0.8966,             0.91118,             0.94392,             0.40477,            0.046632,            0.039526,                   0,           0.0093169,           0.0093169,           0.0093169
                  71,            0.042622,            0.034156,                   0,             0.90958,             0.91186,             0.94038,             0.41714,            0.045467,            0.038892,                   0,            0.009307,            0.009307,            0.009307
                  72,            0.044718,            0.034556,                   0,             0.88253,             0.91186,             0.93729,             0.40362,             0.04277,             0.03914,                   0,           0.0092971,           0.0092971,           0.0092971
                  73,            0.039882,            0.036261,                   0,             0.89824,             0.91186,             0.92114,             0.38594,             0.04323,             0.03909,                   0,           0.0092872,           0.0092872,           0.0092872
                  74,            0.044531,            0.034832,                   0,             0.91063,             0.90847,             0.94153,             0.39777,            0.041663,            0.039629,                   0,           0.0092773,           0.0092773,           0.0092773
                  75,            0.044132,            0.032979,                   0,             0.90337,             0.92881,             0.93931,             0.40136,              0.0408,            0.039501,                   0,           0.0092674,           0.0092674,           0.0092674
                  76,            0.042904,            0.031859,                   0,             0.91121,             0.85763,             0.89715,             0.36099,            0.044221,            0.038705,                   0,           0.0092575,           0.0092575,           0.0092575
                  77,            0.042745,            0.032534,                   0,             0.93522,             0.89492,             0.94077,             0.37351,            0.041365,            0.039156,                   0,           0.0092476,           0.0092476,           0.0092476
                  78,            0.041179,            0.030225,                   0,             0.89751,             0.86089,             0.90629,             0.37718,            0.042837,             0.03937,                   0,           0.0092377,           0.0092377,           0.0092377
                  79,            0.043401,            0.031767,                   0,             0.91355,             0.87119,             0.92944,             0.39164,            0.042462,            0.038917,                   0,           0.0092278,           0.0092278,           0.0092278
                  80,            0.042257,            0.032139,                   0,             0.88958,             0.92856,             0.94305,             0.40442,            0.040103,            0.038964,                   0,           0.0092179,           0.0092179,           0.0092179
                  81,            0.038667,             0.03301,                   0,             0.91648,             0.92989,             0.95065,             0.40386,            0.041132,            0.039241,                   0,            0.009208,            0.009208,            0.009208
                  82,            0.042765,            0.031404,                   0,             0.89219,             0.88136,             0.91688,             0.39814,            0.042932,            0.040135,                   0,           0.0091981,           0.0091981,           0.0091981
                  83,            0.041462,            0.030174,                   0,              0.9054,             0.90837,             0.94209,               0.393,            0.041454,            0.039478,                   0,           0.0091882,           0.0091882,           0.0091882
                  84,             0.04358,             0.03308,                   0,             0.88781,             0.88136,             0.90539,             0.36184,            0.045552,            0.040277,                   0,           0.0091783,           0.0091783,           0.0091783
                  85,             0.04652,            0.034479,                   0,             0.90684,             0.89492,             0.91661,             0.35712,             0.04393,            0.039788,                   0,           0.0091684,           0.0091684,           0.0091684
                  86,            0.042004,            0.031388,                   0,             0.94299,             0.87119,             0.93226,              0.3954,            0.042194,            0.039978,                   0,           0.0091585,           0.0091585,           0.0091585
